교육지원청명,유치원코드,설립유형,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,건물층수,건물전용면적,대지총면적,원장수,원감수,수석교사수,보직교사수,일반교사수,특수교사수,1년미만교사수,1년이상2년미만교사수,2년이상4년미만교사수,4년이상6년미만교사수,6년이상교사수
남부교육지원청,006b5238-ce41-4471-9ee3-4df8d24b5141,공립(병설),1,1,1,0,1,3,15,16,0,4,"지상2층/ 지하0층",784㎡,17909㎡,0,1,0,1,2,1,1,0,0,3,0
강동송파교육지원청,009c017d-43bd-4d9f-ac64-d217abdd570e,공립(단설),2,2,2,0,1,28,31,43,0,6,"지상3층/ 지하1층",929㎡,1454㎡,1,1,0,2,4,0,0,2,4,0,0
강동송파교육지원청,0f7d2827-8bb2-4a0c-9926-77fca1f60a54,공립(단설),2,2,3,0,1,32,36,47,0,4,"지상4층/ 지하1층",720㎡,804㎡,1,1,0,2,4,1,1,6,0,0,0
강남서초교육지원청,16f86a3d-1aa1-471d-bcd4-a563853f8658,공립(단설),2,2,1,0,1,19,20,19,0,2,"지상2층/ 지하0층",1122㎡,673㎡,1,1,0,2,3,0,2,0,0,3,0
강남서초교육지원청,18f5dfe2-27c7-47f3-af41-5a4a944a77fe,공립(단설),1,2,2,0,1,14,30,36,0,4,"지상1층/ 지하1층",986㎡,752㎡,1,1,0,2,3,0,0,1,2,2,0
강남서초교육지원청,1ecec08c-ed1c-b044-e053-0a32095ab044,공립(병설),2,1,1,0,1,19,15,15,0,4,"지상2층/ 지하0층",1049㎡,1245㎡,0,1,0,1,3,1,0,1,4,0,0
강서양천교육지원청,1ecec08c-ed81-b044-e053-0a32095ab044,공립(단설),1,2,2,0,1,13,26,28,0,4,"지상1층/ 지하1층",923㎡,3525㎡,1,1,0,2,3,1,2,2,0,2,0
강서양천교육지원청,1ecec08c-ed82-b044-e053-0a32095ab044,공립(병설),1,1,2,0,1,11,19,41,0,4,"지상1층/ 지하0층",861㎡,1084㎡,0,1,0,1,4,0,2,1,1,0,1
서부교육지원청,1ecec08c-eed7-b044-e053-0a32095ab044,공립(병설),NULL,1,1,0,1,NULL,7,14,0,3,"지상1층/ 지하0층",588㎡,10050㎡,0,0,0,1,1,1,2,0,1,0,0
강동송파교육지원청,1ecec08c-eee8-b044-e053-0a32095ab044,공립(병설),1,1,2,0,1,7,15,40,0,4,"지상4층/ 지하1층",573㎡,3613㎡,0,1,0,1,3,0,0,2,1,1,0
동작관악교육지원청,1ecec08c-ef08-b044-e053-0a32095ab044,공립(병설),1,1,1,0,1,10,17,16,0,4,"지상1층/ 지하0층",1745㎡,11604㎡,0,0,0,1,3,0,0,1,3,0,0
동작관악교육지원청,1ecec08c-efbf-b044-e053-0a32095ab044,공립(병설),1,1,2,0,1,13,21,46,0,4,"지상5층/ 지하0층",701㎡,23396㎡,0,1,0,1,3,1,0,0,0,5,0
동작관악교육지원청,1ecec08c-efc0-b044-e053-0a32095ab044,공립(병설),1,2,1,0,1,13,21,19,0,4,"지상2층/ 지하0층",600㎡,11570㎡,0,1,0,1,4,1,0,1,2,1,2
북부교육지원청,1ecec08c-efcf-b044-e053-0a32095ab044,공립(병설),1,1,1,0,1,4,6,11,0,4,"지상4층/ 지하1층",374㎡,14662㎡,0,0,0,1,2,1,0,0,0,4,0
남부교육지원청,1ecec08c-f052-b044-e053-0a32095ab044,공립(병설),1,1,1,0,1,5,6,12,0,4,"지상1층/ 지하0층",465㎡,14549㎡,0,0,0,1,2,1,2,1,0,1,0
동작관악교육지원청,1ecec08c-f124-b044-e053-0a32095ab044,공립(병설),2,1,2,0,1,21,17,29,0,5,"지상3층/ 지하0층",1315㎡,11910㎡,0,1,0,2,3,1,4,0,2,0,0
서부교육지원청,1ecec08c-f13b-b044-e053-0a32095ab044,공립(단설),2,2,2,0,1,18,18,30,0,5,"지상4층/ 지하1층",1743㎡,630㎡,1,1,0,2,4,1,1,0,2,4,0
서부교육지원청,1ecec08c-f13c-b044-e053-0a32095ab044,공립(단설),2,2,2,0,1,21,35,45,0,5,"지상4층/ 지하1층",1417㎡,1813㎡,1,1,0,2,4,1,2,2,3,1,0
동작관악교육지원청,1ecec08c-f1a0-b044-e053-0a32095ab044,공립(단설),2,2,2,0,1,24,32,35,0,3,"지상3층/ 지하1층",1884㎡,1533㎡,1,1,0,2,4,1,0,1,0,7,0
남부교육지원청,1ecec08c-f1b3-b044-e053-0a32095ab044,공립(병설),1,2,1,0,1,14,23,19,0,4,"지상4층/ 지하1층",641㎡,13411㎡,0,1,0,1,3,0,2,0,0,0,2
남부교육지원청,1ecec08c-f1b4-b044-e053-0a32095ab044,공립(병설),1,1,1,0,1,6,9,17,0,4,"지상1층/ 지하0층",1577㎡,12137㎡,0,0,0,1,2,1,0,1,1,2,0
서부교육지원청,1ecec08c-f27b-b044-e053-0a32095ab044,공립(병설),1,1,1,0,1,8,11,18,0,5,"지상2층/ 지하0층",2282㎡,7718㎡,0,0,0,1,2,1,0,0,0,2,2
강동송파교육지원청,1ecec08c-f338-b044-e053-0a32095ab044,공립(단설),1,2,3,0,1,15,28,46,0,7,"지상2층/ 지하1층",1561㎡,1561㎡,1,1,0,2,4,1,0,1,4,2,0
동작관악교육지원청,1ecec08c-f56c-b044-e053-0a32095ab044,공립(병설),1,1,1,0,1,13,16,37,0,6,"지상5층/ 지하0층",717㎡,14759㎡,0,1,0,0,4,1,1,1,3,0,0
남부교육지원청,1ecec08c-f5fd-b044-e053-0a32095ab044,공립(병설),2,2,1,0,1,32,29,22,0,4,"지상2층/ 지하0층",642㎡,12480㎡,0,1,0,2,1,1,0,1,1,2,0
강동송파교육지원청,1ecec08c-f7df-b044-e053-0a32095ab044,공립(병설),1,2,2,0,1,10,19,29,0,2,"지상2층/ 지하0층",1105㎡,2307㎡,0,1,0,2,3,1,0,1,2,3,0
강서양천교육지원청,1ecec08c-f883-b044-e053-0a32095ab044,공립(병설),1,1,2,0,1,6,11,24,0,4,"지상2층/ 지하0층",464㎡,29972㎡,0,1,0,1,2,1,0,1,2,1,0
강남서초교육지원청,1ecec08c-f8db-b044-e053-0a32095ab044,공립(병설),NULL,1,1,0,1,NULL,16,14,0,2,"지상3층/ 지하0층",1014㎡,11601㎡,0,0,0,1,1,1,1,0,1,0,1
성북강북교육지원청,1ecec08c-f8de-b044-e053-0a32095ab044,공립(병설),1,1,1,0,1,5,12,12,0,3,"지상1층/ 지하0층",1767㎡,17913㎡,0,0,0,1,1,1,0,2,0,1,0
