유치원코드,설립유형,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,건물층수,건물전용면적,대지총면적,원장수,원감수,수석교사수,보직교사수,일반교사수,특수교사수,1년미만교사수,1년이상2년미만교사수,2년이상4년미만교사수,4년이상6년미만교사수,6년이상교사수
0764f8c8-364c-495b-9fbc-b389148b7b4f,공립(병설),1,1,1,0,1,12,14,20,0,4,"지상1층/ 지하0층",404㎡,519㎡,0,0,0,0,3,1,0,0,4,0,0
1ecec08c-f1fc-b044-e053-0a32095ab044,공립(병설),1,1,1,0,1,6,16,18,0,5,"지상3층/ 지하0층",602㎡,3454㎡,0,1,0,1,2,1,2,0,2,0,0
1ecec08c-f491-b044-e053-0a32095ab044,공립(단설),2,2,2,0,1,28,22,39,0,5,"지상2층/ 지하1층",1722㎡,2758㎡,1,1,0,2,5,0,2,1,1,2,1
1ecec08c-fa6b-b044-e053-0a32095ab044,공립(병설),NULL,1,1,0,1,NULL,10,16,0,5,"지상3층/ 지하0층",1718㎡,3206㎡,0,0,0,1,1,1,0,0,0,2,1
1ecec08c-fe02-b044-e053-0a32095ab044,공립(병설),1,1,1,0,1,4,15,13,0,4,"지상3층/ 지하0층",668㎡,4081㎡,0,1,0,1,3,0,0,1,0,1,2
1ecec08d-01d5-b044-e053-0a32095ab044,공립(병설),1,1,1,0,1,3,1,9,0,4,"지상2층/ 지하0층",971㎡,4529㎡,0,0,0,1,2,1,1,0,1,2,0
1ecec08d-078d-b044-e053-0a32095ab044,공립(병설),1,1,1,0,1,15,21,19,0,4,"지상1층/ 지하0층",964㎡,12059㎡,0,1,0,1,2,1,0,1,2,1,0
1ecec08d-0a6b-b044-e053-0a32095ab044,공립(단설),3,3,3,0,3,34,46,50,0,11,"지상3층/ 지하1층",2531㎡,1800㎡,1,1,0,3,6,2,2,1,7,2,0
1ecec08d-0add-b044-e053-0a32095ab044,공립(병설),1,1,1,0,1,15,20,22,0,4,"지상4층/ 지하0층",721㎡,1237㎡,0,1,0,1,2,1,2,0,2,0,0
1ecec08d-0c8d-b044-e053-0a32095ab044,공립(단설),2,2,2,0,1,23,34,44,0,7,"지상2층/ 지하1층",1599㎡,1809㎡,1,1,0,2,5,0,1,1,3,3,0
1ecec08d-0e81-b044-e053-0a32095ab044,공립(병설),1,1,1,0,1,15,20,23,0,4,"지상1층/ 지하0층",368㎡,704㎡,0,1,0,0,3,1,2,0,1,0,1
1ecec08d-0f38-b044-e053-0a32095ab044,공립(병설),1,1,1,0,1,6,3,1,0,4,"지상2층/ 지하0층",751㎡,9506㎡,0,1,0,1,3,0,0,1,2,1,0
51d03296-c765-4e9c-900f-217f6a1d50f3,공립(단설),2,2,2,0,1,27,35,36,0,5,"지상3층/ 지하0층",1752㎡,861㎡,1,1,0,2,4,0,1,1,4,0,0
74e1e803-e7d0-4cb0-a8d9-087fb5e7f80f,공립(병설),1,1,1,0,1,12,17,20,0,3,"지상2층/ 지하0층",433㎡,641㎡,0,1,0,1,1,0,0,2,0,0,0
907fd160-25a1-4048-8de4-27e545ebd656,공립(병설),1,1,1,0,1,10,12,15,0,4,"지상2층/ 지하0층",528㎡,707㎡,0,1,0,1,2,1,1,0,1,2,0
b6a058d4-d077-4426-a262-864967ac2010,공립(병설),2,2,2,0,2,12,22,26,0,7,"지상3층/ 지하0층",366㎡,11380㎡,0,1,0,2,4,0,2,0,2,1,1
c2e09cc2-cdd2-4105-ba11-7fe02b7e47f8,공립(병설),2,2,2,0,1,18,27,32,0,5,"지상2층/ 지하0층",886㎡,489㎡,0,1,0,2,4,1,1,6,0,0,0
