"교육청명","교육지원청명","유치원코드","유치원명","설립유형","소방대피훈련여부","소방대피훈련일자","가스점검여부","가스점검일자","소방안전점검여부","소방안전점검일자","전기설비점검여부","전기설비점검일자","놀이시설 안전검사 대상여부","놀이시설 안전검사 점검일자","놀이시설 안전검사 점검결과","CCTV 설치여부","CCTV 총 설치수","CCTV 건물 안 설치수","CCTV 건물 밖 설치수","공시차수","주소"
"서울특별시교육청","남부교육지원청","006b5238-ce41-4471-9ee3-4df8d24b5141","서울정심초등학교병설유치원","공립(병설)","Y","20230428","Y","20230904","Y","20230918","Y","20230920","Y","20230222","적합","Y","48","34","14","20232","서울특별시 금천구 독산로78다길 89"
"서울특별시교육청","강동송파교육지원청","009c017d-43bd-4d9f-ac64-d217abdd570e","서울솔방울유치원","공립(단설)","Y","20230908","Y","20230304","Y","20230307","Y","20230309","Y","20230427","적합","Y","20","14","6","20232","서울특별시 송파구 오금로24길 25"
"서울특별시교육청","강동송파교육지원청","04a021da-cdd7-4e7e-a434-2b388c2f6b63","란키즈유치원","사립(사인)","Y","20230925","Y","20230309","Y","20230303","Y","20230215","Y","20230328","적합","Y","12","8","4","20232","서울특별시 송파구 새말로8길 22-5"
"서울특별시교육청","동부교육지원청","0764f8c8-364c-495b-9fbc-b389148b7b4f","서울신현초등학교병설유치원","공립(병설)","Y","20230912","Y","20230823","Y","20230823","Y","20230823","N","","-","Y","8","5","3","20232","서울특별시 중랑구 봉화산로 188"
"서울특별시교육청","동부교육지원청","076db651-036b-4bee-80ba-09f0edb4a57a","서울신묵초등학교병설유치원","공립(병설)","Y","20230920","Y","20230823","Y","20230809","Y","20230823","Y","20220330","적합","Y","8","6","2","20232","서울특별시 중랑구 동일로149길 46"
"서울특별시교육청","서부교육지원청","0783b5eb-4c00-4161-9c47-664336825e5a","다우림유치원","사립(사인)","Y","20220621","Y","20211119","Y","20220916","Y","20220816","N","","-","Y","3","3","0","20222","서울특별시 은평구 증산로21길 22"
"서울특별시교육청","서부교육지원청","08d485cb-06c8-4964-bf03-ed1b178ef3fd","서울소의초등학교병설유치원","공립(병설)","Y","20230904","NA","","Y","20230828","Y","20230906","Y","20230324","적합","Y","64","38","26","20232","서울특별시 마포구 마포대로24길 42"
"서울특별시교육청","북부교육지원청","0c4bc461-9f36-4d28-94e3-3dfb9c6cd4e3","서울상계초등학교병설유치원","공립(병설)","Y","20230906","Y","20230725","Y","20230905","Y","20230914","Y","20221013","적합","Y","6","3","3","20232","서울특별시 노원구 상계로9길 39"
"서울특별시교육청","강동송파교육지원청","0f7d2827-8bb2-4a0c-9926-77fca1f60a54","서울송파위례유치원","공립(단설)","Y","20230710","Y","20230214","Y","20230807","Y","20230905","N","","-","Y","6","6","0","20232","서울특별시 송파구 위례송파로 121"
"서울특별시교육청","북부교육지원청","12c109c2-23b7-4e98-a3e1-57e391f3a55a","서울월천초등학교병설유치원","공립(병설)","Y","20230623","Y","20230905","Y","20230911","Y","20230918","N","","-","Y","20","2","18","20232","서울특별시 도봉구 노해로70길 96"
"서울특별시교육청","강남서초교육지원청","16f86a3d-1aa1-471d-bcd4-a563853f8658","서울신구유치원","공립(단설)","Y","20230713","Y","20230217","Y","20230817","Y","20230920","Y","20230613","적합","Y","5","5","","20232","서울특별시 강남구 압구정로18길 28"
"서울특별시교육청","강남서초교육지원청","18f5dfe2-27c7-47f3-af41-5a4a944a77fe","서울세명유치원","공립(단설)","Y","20230904","Y","20230508","Y","20230908","Y","20230912","Y","20230707","적합","Y","13","7","6","20232","서울특별시 강남구 자곡로 55"
"서울특별시교육청","강남서초교육지원청","196f00e6-793a-4f41-bcef-99bef725d1f3","한신유치원","사립(법인)","Y","20230704","Y","20230922","Y","20230922","Y","20230922","Y","20221012","적합","Y","11","11","","20232","서울특별시 서초구 잠원로3길 31"
"서울특별시교육청","강서양천교육지원청","1dfcc6e7-c6ff-4843-b970-cfba072320b4","서울강월초등학교병설유치원","공립(병설)","Y","20230602","Y","20230703","Y","20230925","Y","20230925","Y","20230914","적합","Y","20","4","16","20232","서울특별시 양천구 신월로 97"
"서울특별시교육청","강남서초교육지원청","1ecec08c-ed13-b044-e053-0a32095ab044","강남유치원","사립(사인)","Y","20201005","Y","20200702","Y","20200915","Y","20201006","Y","20191030","적합","Y","14","12","2","20202","서울특별시 강남구 선릉로129길 31"
"서울특별시교육청","서부교육지원청","1ecec08c-ed16-b044-e053-0a32095ab044","서울연광초등학교병설유치원","공립(병설)","Y","20230831","Y","20230321","Y","20230814","Y","20230918","Y","20230914","적합","Y","18","6","12","20232","서울특별시 은평구 연서로35길 37"
"서울특별시교육청","강남서초교육지원청","1ecec08c-ed17-b044-e053-0a32095ab044","서울원명초등학교병설유치원","공립(병설)","Y","20230417","Y","20230317","Y","20230922","Y","20230920","Y","20230818","적합","Y","8","5","3","20232","서울특별시 서초구 고무래로 90-6"
"서울특별시교육청","서부교육지원청","1ecec08c-ed18-b044-e053-0a32095ab044","홍익대학교사범대학부속유치원","사립(법인)","Y","20230905","Y","20230831","Y","20230831","Y","20230831","Y","20221226","적합","Y","31","24","7","20232","서울특별시 마포구 성미산로 111"
"서울특별시교육청","성동광진교육지원청","1ecec08c-ed19-b044-e053-0a32095ab044","서울마장초등학교병설유치원","공립(병설)","Y","20230705","Y","20230904","Y","20230914","Y","20230918","Y","20230904","적합","Y","3","0","3","20232","서울특별시 성동구 마장로35나길 31"
"서울특별시교육청","강남서초교육지원청","1ecec08c-ed1c-b044-e053-0a32095ab044","서울우솔초등학교병설유치원","공립(병설)","Y","20230524","Y","20230921","Y","20230921","Y","20230921","Y","20230921","적합","Y","12","6","6","20232","서울특별시 서초구 양재대로2길 74"
"서울특별시교육청","강남서초교육지원청","1ecec08c-ed1d-b044-e053-0a32095ab044","서울언주초등학교병설유치원","공립(병설)","Y","20230622","Y","20230221","Y","20230719","Y","20230905","Y","20230412","적합","Y","31","21","10","20232","서울특별시 강남구 남부순환로363길 19"
"서울특별시교육청","강남서초교육지원청","1ecec08c-ed1e-b044-e053-0a32095ab044","서울개원초등학교병설유치원","공립(병설)","Y","20180904","Y","20180920","Y","20180920","Y","20180920","Y","20180320","적합","Y","25","9","16","20182","서울특별시 강남구 선릉로 29"
"서울특별시교육청","동작관악교육지원청","1ecec08c-ed2b-b044-e053-0a32095ab044","한별유치원","사립(사인)","Y","20230821","Y","20230302","Y","20230309","Y","20230315","Y","20220314","적합","Y","15","12","3","20232","서울특별시 관악구 남부순환로144길 65"
"서울특별시교육청","남부교육지원청","1ecec08c-ed2e-b044-e053-0a32095ab044","서울백산초등학교병설유치원","공립(병설)","Y","20230905","NA","","Y","20230915","Y","20230912","Y","20230825","적합","Y","9","7","2","20232","서울특별시 금천구 시흥대로38길 78"
"서울특별시교육청","남부교육지원청","1ecec08c-ed2f-b044-e053-0a32095ab044","서울아람유치원","사립(사인)","Y","20190827","Y","20190401","Y","20190830","Y","20190401","Y","20190830","적합","Y","14","12","2","20192","서울특별시 구로구 고척로25길 62"
"서울특별시교육청","남부교육지원청","1ecec08c-ed30-b044-e053-0a32095ab044","성모유치원","사립(법인)","Y","20230720","Y","20230512","Y","20230630","Y","20230912","Y","20220808","적합","Y","5","4","1","20232","서울특별시 영등포구 가마산로89길 7"
"서울특별시교육청","강서양천교육지원청","1ecec08c-ed7f-b044-e053-0a32095ab044","새서울유치원","사립(사인)","Y","20220823","Y","20220530","Y","20230707","Y","20221013","N","","-","Y","4","2","2","20232","서울특별시 양천구 목동서로 340"
"서울특별시교육청","강서양천교육지원청","1ecec08c-ed80-b044-e053-0a32095ab044","샘터유치원","사립(사인)","Y","20230904","Y","20230822","Y","20230904","Y","20230906","Y","20230807","적합","Y","13","9","4","20232","서울특별시 양천구 신월로 99"
"서울특별시교육청","강서양천교육지원청","1ecec08c-ed81-b044-e053-0a32095ab044","서울경인유치원","공립(단설)","Y","20230908","Y","20221020","Y","20230922","Y","20230919","Y","20230518","적합","Y","15","6","9","20232","서울특별시 양천구 안양천로 1009"
"서울특별시교육청","강서양천교육지원청","1ecec08c-ed82-b044-e053-0a32095ab044","서울공항초등학교병설유치원","공립(병설)","Y","20230404","Y","20230523","Y","20230915","Y","20230914","Y","20230322","적합","Y","10","4","6","20232","서울특별시 강서구 마곡서1로 68"
"서울특별시교육청","동부교육지원청","1ecec08c-ed83-b044-e053-0a32095ab044","새일문유치원","사립(사인)","Y","20230908","Y","20230531","Y","20230830","Y","20230901","N","","-","Y","6","6","0","20232","서울특별시 동대문구 장한로 165"
"서울특별시교육청","동부교육지원청","1ecec08c-ed85-b044-e053-0a32095ab044","서울중곡초등학교병설유치원","공립(병설)","Y","20230920","Y","20230810","Y","20230810","Y","20230810","N","","-","Y","40","24","16","20232","서울특별시 중랑구 면목로23길 20"
"서울특별시교육청","북부교육지원청","1ecec08c-ed86-b044-e053-0a32095ab044","한울유치원","사립(사인)","Y","20210928","Y","20210819","Y","20201228","Y","20210802","Y","20200901","적합","Y","10","7","3","20212","서울특별시 노원구 덕릉로122길 12-6"
"서울특별시교육청","북부교육지원청","1ecec08c-ed87-b044-e053-0a32095ab044","햇살유치원","사립(사인)","Y","20221027","Y","20230922","Y","20230710","Y","20230619","Y","20220603","적합","Y","15","14","1","20232","서울특별시 도봉구 우이천로32길 38"
"서울특별시교육청","북부교육지원청","1ecec08c-ed88-b044-e053-0a32095ab044","효천유치원","사립(사인)","Y","20230825","Y","20230912","Y","20230818","Y","20220225","Y","20230621","적합","Y","32","24","8","20232","서울특별시 노원구 중계로18길 14"
"서울특별시교육청","서부교육지원청","1ecec08c-ed89-b044-e053-0a32095ab044","궁전유치원","사립(사인)","Y","20181001","N","","Y","20180802","N","","N","","-","Y","5","4","1","20182","서울특별시 은평구 갈현로33길 24"
"서울특별시교육청","강동송파교육지원청","1ecec08c-ed94-b044-e053-0a32095ab044","꿀벌유치원","사립(사인)","Y","20230914","Y","20230120","Y","20230817","Y","20230803","N","","-","Y","8","6","2","20232","서울특별시 송파구 양산로8길 8"
"서울특별시교육청","강동송파교육지원청","1ecec08c-ed95-b044-e053-0a32095ab044","송원유치원","사립(사인)","Y","20180814","Y","20181005","Y","20171206","Y","20180821","Y","20170724","적합","Y","10","8","2","20182","서울특별시 강동구 성안로 64"
"서울특별시교육청","북부교육지원청","1ecec08c-ee11-b044-e053-0a32095ab044","행복한유치원","사립(사인)","Y","20230925","Y","20230911","Y","20230911","Y","20230829","Y","20230811","적합","Y","15","12","3","20232","서울특별시 도봉구 시루봉로6길 86"
"서울특별시교육청","서부교육지원청","1ecec08c-ee12-b044-e053-0a32095ab044","성아유치원","사립(사인)","Y","20230825","Y","20230601","Y","20230517","Y","20221124","N","","-","Y","15","12","3","20232","서울특별시 은평구 응암로14길 21"
"서울특별시교육청","서부교육지원청","1ecec08c-ee13-b044-e053-0a32095ab044","성균관유치원","사립(사인)","Y","20230905","Y","20230203","Y","20230915","Y","20220920","N","","-","Y","31","23","8","20232","서울특별시 은평구 연서로27길 23"
"서울특별시교육청","동부교육지원청","1ecec08c-ee33-b044-e053-0a32095ab044","백주유치원","사립(사인)","Y","20201007","Y","20201007","Y","20200826","Y","20201007","N","","-","Y","15","7","8","20202","서울특별시 동대문구 서울시립대로18길 19"
"서울특별시교육청","서부교육지원청","1ecec08c-ee3d-b044-e053-0a32095ab044","동산유치원","사립(법인)","Y","20230926","Y","20230907","Y","20230919","Y","20230919","N","","-","Y","20","14","6","20232","서울특별시 은평구 증산서길 53-9"
"서울특별시교육청","중부교육지원청","1ecec08c-ee46-b044-e053-0a32095ab044","강변유치원","사립(법인)","Y","20230926","Y","20230322","Y","20230510","Y","20230919","Y","20220324","적합","Y","16","8","8","20232","서울특별시 용산구 이촌로84길 9-7"
